Name;Gewicht ;Datum;Supermarkt;Verpackung;Kisten;Erzeuger;GGN;GLN;Haendler
Rettich;541,9;28.08.2018;Lidl;Stueck;10;Gemueuesebau Schlosser GbR Schifferstadt;4,05E+12;NA;A. Schlosser Gemueuesehandel
Rettich;415,4;28.08.2018;Lidl;Stueck;10;Gemueuesebau Schlosser GbR Schifferstadt;4,05E+12;NA;A. Schlosser Gemueuesehandel
Mairueben;1013,2;29.08.2018;Kaufland;Bund;10;Domstiftsgueueter Brandenburg Beetzseeheide OT Moetzow;4,05E+12;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;966,2;29.08.2018;Kaufland;Bund;10;Domstiftsgueueter Brandenburg Beetzseeheide OT Moetzow;4,05E+12;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;919,2;29.08.2018;Kaufland;Bund;10;Domstiftsgueueter Brandenburg Beetzseeheide OT Moetzow;4,05E+12;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;901,2;29.08.2018;Kaufland;Bund;10;Domstiftsgueueter Brandenburg Beetzseeheide OT Moetzow;4,05E+12;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;919,6;29.08.2018;Kaufland;Bund;10;Domstiftsgueueter Brandenburg Beetzseeheide OT Moetzow;4,05E+12;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Rettich;396;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Rettich;434,6;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Rettich;513,6;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Rettich;385,7;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Rettich;270,7;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Endievien Salat;581,3;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Endievien Salat;607,5;14.09.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Radieschen;372;08.10.2018;Penny;Bund;10;Boerdegarten Gemueuese GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;424,2;08.10.2018;Penny;Bund;10;Boerdegarten Gemueuese GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;339,5;08.10.2018;Penny;Bund;10;Boerdegarten Gemueuese GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;336,9;08.10.2018;Penny;Bund;10;Boerdegarten Gemueuese GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;326,3;08.10.2018;Penny;Bund;10;Boerdegarten Gemueuese GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;404,9;08.10.2018;Netto schwarz;Bund;8;Maehlmann Gemueuesebau GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;358,9;08.10.2018;Netto schwarz;Bund;8;Maehlmann Gemueuesebau GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;405;08.10.2018;Netto schwarz;Bund;8;Maehlmann Gemueuesebau GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;437,1;08.10.2018;Netto schwarz;Bund;8;Maehlmann Gemueuesebau GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;382,1;08.10.2018;Netto schwarz;Bund;8;Maehlmann Gemueuesebau GmbH & Co. KG;4,05E+12;NA;NA
Radieschen;460,8;08.10.2018;Edeka;Bund;15;NA;NA;NA;HAVITA Frischsalate GmbH
Radieschen;415,7;08.10.2018;Edeka;Bund;15;NA;NA;NA;HAVITA Frischsalate GmbH
Radieschen;569,6;08.10.2018;Edeka;Bund;15;NA;NA;NA;HAVITA Frischsalate GmbH
Radieschen;507,4;08.10.2018;Edeka;Bund;15;NA;NA;NA;HAVITA Frischsalate GmbH
Radieschen;599,7;08.10.2018;Edeka;Bund;15;NA;NA;NA;HAVITA Frischsalate GmbH
Radieschen;390,9;10.10.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;375,2;10.10.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;287;10.10.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;477;10.10.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;271,9;10.10.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;396,8;10.10.2018;REWE;Bund;NA;NA;NA;NA;NA
Radieschen;374,8;10.10.2018;REWE;Bund;NA;NA;NA;NA;NA
Radieschen;355,7;10.10.2018;REWE;Bund;NA;NA;NA;NA;NA
Radieschen;328,9;10.10.2018;REWE;Bund;NA;NA;NA;NA;NA
Radieschen;414,9;10.10.2018;REWE;Bund;NA;NA;NA;NA;NA
Kopfsalat;441,3;08.10.2018;Netto rot;Stueck;6;Mackle GbR, Ludwigshafen;4,05E+12;NA;Pfalzmarkt eG
Kopfsalat;559,6;08.10.2018;Netto rot;Stueck;6;Mackle GbR, Ludwigshafen;4,05E+12;NA;Pfalzmarkt eG
Kopfsalat;364,2;08.10.2018;Netto rot;Stueck;6;Mackle GbR, Ludwigshafen;4,05E+12;NA;Pfalzmarkt eG
Kopfsalat;502,7;08.10.2018;Netto rot;Stueck;6;Mackle GbR, Ludwigshafen;4,05E+12;NA;Pfalzmarkt eG
Kopfsalat;543,8;08.10.2018;Netto rot;Stueck;6;Mackle GbR, Ludwigshafen;4,05E+12;NA;Pfalzmarkt eG
Kopfsalat;352,2;10.10.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Kopfsalat;516,5;10.10.2018;ALDI;Stueck;NA;NA;NA;NA;NA
